2000	Nederland	13117814	13072980	11647677	11169095	11152500	11311558	11355967	11662654	12026467	12186453	12254972	12429138	12233649	12212303	12238120	12602888	12478594	155031	146422	149875	145097	146238	141266	145632	146549	163313	156974	154004	135540	146282	154851	155676	165663	162849	129433	124477	107817	105884	103002	111065	101046	102422	96737	101632	101299	94909	102041	100210	98278	96321	106387	283731	290531	270690	269752	274983	273213	284229	288960	288886	289634	294538	270817	250478	263713	264808	255842	262860	1726406	1698620	1516450	1518637	1512586	1531034	1539227	1600314	1639043	1651501	1663683	1660141	1632576	1650888	1646310	1671730	1627010	50818	51568	49489	49280	46016	44377	50213	62729	65827	73037	68763	71204	68874	64042	72739	56285	52980	2581614	2510966	2212100	2122227	2105691	2127692	2125288	2186809	2200119	2164288	2153303	2132460	2004310	2006145	1992236	2006204	1923940	358238	339319	308368	298590	291148	305482	295854	291978	304050	291238	295681	288668	277197	259739	253420	266734	252425	33726	34729	30723	26481	24149	24612	25420	28475	23226	22566	22493	21098	20080	26858	26673	24636	22102	221015	215767	194482	181610	170629	152425	141913	135365	141422	136947	130196	128627	117712	123294	118356	121025	120551	112584	110518	103536	84753	78699	72993	71767	75596	65726	62451	61400	52587	60092	56049	52753	53798	59074	5714788	5743803	5062093	4787266	4819347	4948114	4969258	5127164	5334741	5474060	5515227	5716281	5725421	5660276	5700762	5935569	5950727	1750430	1806260	1642054	1579518	1580012	1579285	1606120	1616293	1703377	1762125	1794385	1856806	1828586	1846238	1856109	1949081	1937689				
2001	Groningen	104014665	100333709	101051852	79234855	85816077	92914176	91782259	92760859	96700237	96859484	101247711	96918611	95273269	97719294	103038539	106762945	105619586	5548208	5546671	5732208	5221647	5318813	5305602	5366706	5772700	5954403	5245974	5859813	5582389	5633621	5960825	5987152	6095849	5706031	6674687	6670821	7168591	6201416	6456548	6741706	7333416	7458939	7681128	8718914	7825595	8061468	8022285	7763430	7787656	8945589	8296977	6662961	6475089	6902156	5496986	5311997	6508283	5736650	6231531	6121176	6162441	6718001	6397605	6433737	6313537	7059639	7442536	7536041	10218785	10676657	10223256	9161084	8437906	9124521	9075139	9244347	10312963	10022750	10300899	10631637	9819108	10189953	11493220	11923662	11790545	2069829	2086170	2144277	1976987	1886536	1831371	1948317	2179606	2062696	2067021	2272115	2253368	2160103	2390440	2567359	2675974	2762472	19999244	18561459	18212605	9666353	16369308	17181834	16481551	16568663	18291359	17653097	18793947	17733521	16781755	17514232	18359711	18253826	17655436	1791186	1622417	1618372	632612	1374490	1458070	1652297	1637713	1835479	1772387	2314800	2095666	2303637	2321615	2888072	2966443	3034070	1461629	1369506	1599984	1497879	1399204	1441126	1371170	1287174	1372950	1060287	1217486	1150011	904305	1271717	1378052	1508312	1784311	1369578	1409523	1612646	1235222	1238923	1193554	952701	1266111	912386	697036	688533	831314	861472	720821	836763	692346	810688	1954061	1891880	1878907	2064318	1629610	1965360	1973616	1532987	1746076	1724296	1765791	1698175	1760614	1716880	1620944	1975650	1687879	29113756	27494666	28371249	22893788	23634172	25788796	25636276	25622843	25279271	25917994	27798280	26531857	26609930	26828509	27480810	28254616	27743546	17150741	16528850	15587601	13186563	12758570	14373953	14254420	13958245	15130350	15817287	15692451	13951600	13982702	14727335	15579161	16028142	16811590				
2002	Friesland	1543830	1523250	1450590	1111930	1238450	1245420	1139840	1232354	1044315	1059693	1036277	990348	826766	840766	793856	862981	761988	34500	52600	59600	49600	60600	60600	59600	41600	32600	57450	54800	56600	56600	39150	26000	23394	25468	16200	11300	19000	8000	6800	19000	0	0	0	0	0	0	0	0	0	0	0	58250	49950	50550	58950	65850	42000	63850	62170	40136	39958	32453	24967	14894	9818	17918	28000	28000	57250	52800	58600	72400	96450	96000	81350	127735	70062	74563	67225	70000	63500	60700	60700	39000	39000	10250	10600	28200	28900	13550	28690	21950	20675	21900	20100	15500	21900	21550	22760	23350	26333	28540	188520	235950	219870	69470	189500	199150	199800	130155	152790	109678	97020	91400	80580	76700	83650	99006	97846	8000	0	5000	6000	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	60	170	30	0	0	0	30	0	0	0	0	0	0	4500	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280410	269850	260070	221710	236310	248260	208010	225408	188074	214876	220258	195261	172845	148299	163286	209205	193794	885950	833600	749700	596850	569300	551550	505250	624611	538753	543068	548991	530220	416797	483339	418952	438043	349340				
2003	Drenthe	392193	383378	370872	325124	346719	360473	323507	387101	323044	312077	298834	301806	326895	311017	320672	381133	363163	5221	5278	5173	5110	5040	3845	2010	2018	1410	2680	2720	3281	2907	3709	2939	3929	3829	2640	2429	7828	9720	17754	15499	10275	2650	2700	1964	4732	2164	5863	4762	5518	6150	5700	9790	8823	10479	10810	8430	6949	6975	9281	11147	8871	4838	75	50	45	75	45	0	36714	36338	35889	31300	30157	26347	21886	33198	28217	29906	45729	46279	44512	53263	71469	83057	74238	5750	6460	5400	500	0	8500	6000	2750	4580	5050	4526	26	42	0	0	0	0	51008	45165	44667	42242	33254	37797	23967	64021	36933	35865	39550	36310	40510	42206	46609	41308	57827	398	330	246	55	55	135	25	50	55	92	27	200	135	35	200	155	40	450	0	0	0	0	0	0	0	26	0	58	75	0	0	0	0	0	24238	22905	24620	20597	27468	22151	19547	22410	16290	18130	18948	19773	18295	20817	25007	27582	30800	240	500	448	427	0	25	1283	2025	0	0	0	0	0	0	31	0	30	241111	230849	221932	182835	207706	219257	216023	219255	189455	183496	157827	162700	182876	158206	146087	189341	159769	14633	24301	14190	21528	16855	19968	15516	29443	32231	26023	19879	30923	31705	27974	22737	29566	30930				
2004	Overijssel	18258	16322	15186	13366	12852	12564	11782	11447	10796	10048	9501	8848	8117	7682	7249	7046	6560	320	307	300	270	269	261	240	240	235	222	223	214	200	201	191	189	181	324	284	273	237	233	230	218	225	207	219	196	192	189	183	172	179	163	483	450	435	393	368	375	361	346	313	290	289	269	255	249	241	237	223	3204	2842	2646	2400	2271	2208	2057	1991	1846	1632	1534	1420	1268	1207	1143	1085	980	159	158	155	138	135	130	126	129	120	127	124	121	112	108	107	111	102	4907	4300	3939	3313	3331	3246	3059	2928	2758	2538	2369	2169	1978	1855	1738	1672	1537	1002	866	808	703	672	659	590	577	524	479	454	409	370	346	322	326	281	176	149	156	147	128	125	122	116	108	99	95	98	90	96	92	92	84	607	538	495	436	380	358	329	322	293	274	253	240	218	189	174	151	129	222	204	197	169	145	146	133	139	125	116	109	99	97	89	90	85	87	5185	4686	4363	3891	3700	3651	3453	3350	3228	3062	2911	2738	2523	2390	2252	2219	2114	1669	1538	1419	1269	1220	1175	1094	1084	1039	990	944	879	817	769	727	700	679				
2005	Flevoland	15863950	15987075	16105285	16192572	16258032	16305526	16334210	16357992	16405399	16485787	16574989	16655799	16730348	16779575	16829289	16900726	16979120	562646	566489	570480	572997	574384	575072	574042	573614	573459	574092	576668	579036	580875	581705	582728	583942	583721	624500	630539	636184	639787	642066	642977	642230	642209	643189	644811	646305	647282	647214	646862	646317	646257	646040	469806	474506	478799	481254	482415	483369	484481	486197	488135	489918	490981	491411	490807	489918	488988	488576	488629	1077625	1086280	1094032	1100677	1105512	1109432	1113529	1116374	1119994	1125435	1130345	1134465	1137668	1139350	1139697	1140652	1144280	317206	328936	341721	351680	359904	365859	370656	374424	378688	383449	387881	391967	395525	398441	399893	401791	404068	1919158	1934314	1949233	1960422	1966929	1972010	1975704	1979059	1983869	1991062	1998936	2004671	2010745	2015791	2019692	2026578	2035351	1107849	1117997	1139925	1152218	1162258	1171291	1180039	1190604	1201350	1210869	1220910	1228794	1237117	1245294	1253672	1263572	1273613	2518354	2534599	2559477	2573120	2587265	2599103	2606584	2613070	2626163	2646445	2669084	2691477	2709822	2724300	2741369	2761929	2784854	3397744	3420700	3423780	3439982	3451942	3458381	3458875	3455097	3461435	3481558	3505611	3528324	3552407	3563935	3577032	3600011	3622303	371866	374920	377235	378348	379028	379978	380186	380497	380585	380984	381409	381530	381407	381077	380621	380726	381252	2356004	2375116	2391123	2400198	2406994	2411359	2415946	2419042	2424827	2434560	2444158	2454215	2463686	2471011	2479274	2488751	2498749	1141192	1142679	1143296	1141889	1139335	1136695	1131938	1127805	1123705	1122604	1122701	1122627	1123075	1121891	1120006	1117941	1116260				
2006	Gelderland																																																																																																																																																																																																																																	
2007	Utrecht																																																																																																																																																																																																																																	
2008	Noord-Holland																																																																																																																																																																																																																																	
2009	Zuid-Holland																																																																																																																																																																																																																																	
