2000	Nederland	13117814	13072980	11647677	11169095	11152500	11311558	11355967	11662654	12026467	12186453	12254972	12429138	12233649	12212303	12238120	12602888	12478594	155031	146422	149875	145097	146238	141266	145632	146549	163313	156974	154004	135540	146282	154851	155676	165663	162849	129433	124477	107817	105884	103002	111065	101046	102422	96737	101632	101299	94909	102041	100210	98278	96321	106387	283731	290531	270690	269752	274983	273213	284229	288960	288886	289634	294538	270817	250478	263713	264808	255842	262860	1726406	1698620	1516450	1518637	1512586	1531034	1539227	1600314	1639043	1651501	1663683	1660141	1632576	1650888	1646310	1671730	1627010	50818	51568	49489	49280	46016	44377	50213	62729	65827	73037	68763	71204	68874	64042	72739	56285	52980	2581614	2510966	2212100	2122227	2105691	2127692	2125288	2186809	2200119	2164288	2153303	2132460	2004310	2006145	1992236	2006204	1923940	358238	339319	308368	298590	291148	305482	295854	291978	304050	291238	295681	288668	277197	259739	253420	266734	252425	33726	34729	30723	26481	24149	24612	25420	28475	23226	22566	22493	21098	20080	26858	26673	24636	22102	221015	215767	194482	181610	170629	152425	141913	135365	141422	136947	130196	128627	117712	123294	118356	121025	120551	112584	110518	103536	84753	78699	72993	71767	75596	65726	62451	61400	52587	60092	56049	52753	53798	59074	5714788	5743803	5062093	4787266	4819347	4948114	4969258	5127164	5334741	5474060	5515227	5716281	5725421	5660276	5700762	5935569	5950727	1750430	1806260	1642054	1579518	1580012	1579285	1606120	1616293	1703377	1762125	1794385	1856806	1828586	1846238	1856109	1949081	1937689				
2001	Groningen	104014665	100333709	101051852	79234855	85816077	92914176	91782259	92760859	96700237	96859484	101247711	96918611	95273269	97719294	103038539	106762945	105619586	5548208	5546671	5732208	5221647	5318813	5305602	5366706	5772700	5954403	5245974	5859813	5582389	5633621	5960825	5987152	6095849	5706031	6674687	6670821	7168591	6201416	6456548	6741706	7333416	7458939	7681128	8718914	7825595	8061468	8022285	7763430	7787656	8945589	8296977	6662961	6475089	6902156	5496986	5311997	6508283	5736650	6231531	6121176	6162441	6718001	6397605	6433737	6313537	7059639	7442536	7536041	10218785	10676657	10223256	9161084	8437906	9124521	9075139	9244347	10312963	10022750	10300899	10631637	9819108	10189953	11493220	11923662	11790545	2069829	2086170	2144277	1976987	1886536	1831371	1948317	2179606	2062696	2067021	2272115	2253368	2160103	2390440	2567359	2675974	2762472	19999244	18561459	18212605	9666353	16369308	17181834	16481551	16568663	18291359	17653097	18793947	17733521	16781755	17514232	18359711	18253826	17655436	1791186	1622417	1618372	632612	1374490	1458070	1652297	1637713	1835479	1772387	2314800	2095666	2303637	2321615	2888072	2966443	3034070	1461629	1369506	1599984	1497879	1399204	1441126	1371170	1287174	1372950	1060287	1217486	1150011	904305	1271717	1378052	1508312	1784311	1369578	1409523	1612646	1235222	1238923	1193554	952701	1266111	912386	697036	688533	831314	861472	720821	836763	692346	810688	1954061	1891880	1878907	2064318	1629610	1965360	1973616	1532987	1746076	1724296	1765791	1698175	1760614	1716880	1620944	1975650	1687879	29113756	27494666	28371249	22893788	23634172	25788796	25636276	25622843	25279271	25917994	27798280	26531857	26609930	26828509	27480810	28254616	27743546	17150741	16528850	15587601	13186563	12758570	14373953	14254420	13958245	15130350	15817287	15692451	13951600	13982702	14727335	15579161	16028142	16811590				
2002	Friesland	1543830	1523250	1450590	1111930	1238450	1245420	1139840	1232354	1044315	1059693	1036277	990348	826766	840766	793856	862981	761988	34500	52600	59600	49600	60600	60600	59600	41600	32600	57450	54800	56600	56600	39150	26000	23394	25468	16200	11300	19000	8000	6800	19000	0	0	0	0	0	0	0	0	0	0	0	58250	49950	50550	58950	65850	42000	63850	62170	40136	39958	32453	24967	14894	9818	17918	28000	28000	57250	52800	58600	72400	96450	96000	81350	127735	70062	74563	67225	70000	63500	60700	60700	39000	39000	10250	10600	28200	28900	13550	28690	21950	20675	21900	20100	15500	21900	21550	22760	23350	26333	28540	188520	235950	219870	69470	189500	199150	199800	130155	152790	109678	97020	91400	80580	76700	83650	99006	97846	8000	0	5000	6000	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	60	170	30	0	0	0	30	0	0	0	0	0	0	4500	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280410	269850	260070	221710	236310	248260	208010	225408	188074	214876	220258	195261	172845	148299	163286	209205	193794	885950	833600	749700	596850	569300	551550	505250	624611	538753	543068	548991	530220	416797	483339	418952	438043	349340				
2003	Drenthe	2236643	2101111	2142797	1830860	1944506	2369675	2440948	2925064	2673833	3042505	2599958	2613631	2353176	2210116	2229010	2386066	2249703	121026	108784	86504	134441	109107	100184	74504	79997	71730	84375	75222	70411	39907	22609	37241	37936	38914	37244	37349	30647	32620	40602	29269	174739	36425	20135	71599	43531	44054	56962	46473	45400	36345	25972	22350	31652	85052	67693	70175	70718	85785	90311	127046	147018	122594	143729	72300	51745	76276	54010	55599	98123	113423	120745	142124	100569	148937	128866	295668	127396	110809	133612	149506	203202	223807	236803	242775	266794	157850	155698	192478	134890	173040	236251	202000	231385	235430	217513	193001	181326	228371	179767	177100	219245	162625	809766	713628	675617	500550	547174	834546	813389	1075167	864177	1104643	871588	779206	650171	600674	620903	690784	682168	64198	38775	40260	16521	29901	25999	31812	38580	53035	59661	40806	72224	33014	44948	44538	44463	34323	1042	350	415	160	235	170	130	149	100228	40315	31793	30000	35	0	0	35	0	49743	47333	48832	49906	57545	43906	50112	43358	38435	40937	59756	93359	41888	44154	48319	51256	53947	27667	24144	22975	24874	24250	23578	31076	33277	32686	30659	39156	39184	34640	37840	37121	25657	29847	690113	661986	673467	582052	649703	720096	698774	808336	744431	941130	800049	803667	791998	753219	722339	791809	729710	157521	167989	165805	145029	142205	136021	149761	192411	259104	193846	188850	206965	200688	204880	182970	191751	169804				
2004	Overijssel	19135	17084	15870	13763	13377	13115	12260	11889	11214	10435	9885	9193	8427	7967	7522	7306	6787	329	320	314	285	282	272	248	246	240	228	232	221	207	210	203	200	189	328	289	280	242	239	234	224	229	210	224	202	195	193	188	177	184	167	492	459	446	402	379	388	373	358	326	301	299	281	266	258	250	247	229	3315	2936	2720	2456	2320	2266	2109	2036	1899	1672	1569	1452	1300	1235	1168	1108	998	166	163	159	142	144	134	130	132	124	132	132	128	120	114	111	115	106	5263	4594	4212	3419	3542	3460	3256	3101	2904	2667	2503	2286	2080	1943	1822	1755	1609	1081	932	866	731	714	711	631	618	557	513	490	439	399	377	353	357	305	184	159	164	158	135	130	129	126	122	110	108	110	98	101	100	102	91	632	565	516	462	409	390	352	342	317	299	282	265	241	212	194	164	138	228	207	199	174	149	150	138	144	128	120	110	101	99	90	93	86	90	5361	4841	4499	3974	3795	3754	3534	3433	3307	3140	2979	2802	2580	2446	2306	2275	2169	1756	1619	1495	1318	1269	1226	1136	1124	1080	1029	979	913	844	793	745	713	696				
2005	Flevoland	15863950	15987075	16105285	16192572	16258032	16305526	16334210	16357992	16405399	16485787	16574989	16655799	16730348	16779575	16829289	16900726	16979120	562646	566489	570480	572997	574384	575072	574042	573614	573459	574092	576668	579036	580875	581705	582728	583942	583721	624500	630539	636184	639787	642066	642977	642230	642209	643189	644811	646305	647282	647214	646862	646317	646257	646040	469806	474506	478799	481254	482415	483369	484481	486197	488135	489918	490981	491411	490807	489918	488988	488576	488629	1077625	1086280	1094032	1100677	1105512	1109432	1113529	1116374	1119994	1125435	1130345	1134465	1137668	1139350	1139697	1140652	1144280	317206	328936	341721	351680	359904	365859	370656	374424	378688	383449	387881	391967	395525	398441	399893	401791	404068	1919158	1934314	1949233	1960422	1966929	1972010	1975704	1979059	1983869	1991062	1998936	2004671	2010745	2015791	2019692	2026578	2035351	1107849	1117997	1139925	1152218	1162258	1171291	1180039	1190604	1201350	1210869	1220910	1228794	1237117	1245294	1253672	1263572	1273613	2518354	2534599	2559477	2573120	2587265	2599103	2606584	2613070	2626163	2646445	2669084	2691477	2709822	2724300	2741369	2761929	2784854	3397744	3420700	3423780	3439982	3451942	3458381	3458875	3455097	3461435	3481558	3505611	3528324	3552407	3563935	3577032	3600011	3622303	371866	374920	377235	378348	379028	379978	380186	380497	380585	380984	381409	381530	381407	381077	380621	380726	381252	2356004	2375116	2391123	2400198	2406994	2411359	2415946	2419042	2424827	2434560	2444158	2454215	2463686	2471011	2479274	2488751	2498749	1141192	1142679	1143296	1141889	1139335	1136695	1131938	1127805	1123705	1122604	1122701	1122627	1123075	1121891	1120006	1117941	1116260				
2006	Gelderland	826.8945628	817.7218159	723.2207937	689.7665794	685.9686338	693.7254278	695.2259705	712.9636694	733.0798233	739.2096598	739.3653172	746.2348699	731.225017	727.8076471	727.1917429	745.7009835	734.9376175	9.772534583	9.158773572	9.305951431	8.960713591	8.994815609	8.663688617	8.915766358	8.958862433	9.954832552	9.521777759	9.291348549	8.137706273	8.74351209	9.228541247	9.250301662	9.802123293	9.591133109	8.158938978	7.786102211	6.694510529	6.539047657	6.335453147	6.811494459	6.186157763	6.261281947	5.896656339	6.164825495	6.1115576	5.698255605	6.099155857	5.972141726	5.839700061	5.699222625	6.265754645	17.88526817	18.17286777	16.80752623	16.65899648	16.91367073	16.7558532	17.40084155	17.66475983	17.60920292	17.56870934	17.77002688	16.25962225	14.97147579	15.71630986	15.73494876	15.13792958	15.4813677	108.8257338	106.2495797	94.15853243	93.78602732	93.03622972	93.89663357	94.23332993	97.83071174	99.90875565	100.1772618	100.3730983	99.67345307	97.58171199	98.3867589	97.82409703	98.91468568	95.82416521	3.203363601	3.225605685	3.072842238	3.04337075	2.830354867	2.721592667	3.074100308	3.834761626	4.012520512	4.430301083	4.148600038	4.275027574	4.116710543	3.81666401	4.322167146	3.330330307	3.120303055	162.7346279	157.0622519	137.3524281	131.0617609	129.5169674	130.4890134	130.1126899	133.68444	134.1094477	131.2820553	129.9127861	128.0310839	119.8008553	119.5587493	118.3790949	118.7051965	113.3121151	22.58189165	21.22458298	19.14700671	18.43993653	17.90794851	18.73487553	18.11253804	17.8492568	18.53353277	17.66600527	17.8389862	17.3313811	16.5685137	15.4794743	15.05827133	15.78239893	14.86678933	2.125952238	2.172317325	1.907634668	1.635379481	1.485358129	1.509426927	1.556243002	1.740739328	1.415753436	1.368815453	1.357044641	1.266705968	1.200214126	1.600636488	1.584915441	1.457688859	1.301716461	13.93190221	13.49634001	12.07566336	11.2156364	10.49505869	9.34805783	8.688084701	8.275159934	8.620454766	8.306973759	7.854967506	7.722655635	7.035836911	7.347861909	7.032739173	7.16093498	7.09995571	7.096845363	6.912959375	6.428697164	5.234066583	4.840622776	4.476580516	4.393662136	4.621349613	4.006364002	3.788172199	3.704376516	3.157278735	3.591796178	3.340311063	3.134594694	3.183176865	3.47921447	360.2373936	359.2779167	314.3125378	295.645806	296.4286821	303.4623967	304.223957	313.434803	325.1820331	332.0472356	332.7439312	343.2006474	342.2176873	337.331309	338.7405136	351.2020135	350.4732283	110.3401108	112.9825187	101.957463	97.54583768	97.18347214	96.8558144	98.32859991	98.80754313	103.8302695	106.8875268	108.2585937	111.4810523	109.2975472	110.0288893	110.2903991	115.3252825	114.1218744				
2007	Utrecht	655.6668736	627.5926584	627.4452889	489.3284093	527.8380372	569.8324359	561.9020387	567.0675166	589.441543	587.5332734	610.8463239	581.8910939	569.4637613	582.3704951	612.257232	631.7062652	622.0557131	34.97368562	34.69472058	35.59209291	32.24717482	32.71498666	32.53867431	32.8556202	35.28978373	36.29538666	31.8211924	35.35334473	33.51618857	33.67306526	35.52429069	35.57578695	36.06856297	33.60616451	42.07455898	41.72633831	44.51079878	38.29790598	39.71297387	41.34614241	44.89605558	45.59813332	46.82073261	52.88745997	47.21327417	48.40036794	47.95049691	46.26714324	46.27442074	52.93020548	48.86576572	42.00064297	40.50202429	42.85646606	33.94757794	32.67306277	39.91458479	35.1204619	38.09471847	37.31196053	37.38032646	40.53095299	38.41067607	38.45548819	37.62632248	41.94852795	44.0367828	44.38416714	64.41513621	66.78305444	63.47764724	56.57584231	51.89992245	55.95968508	55.55909346	56.51272479	62.8632257	60.79630897	62.14724486	63.83144393	58.69039903	60.72831404	68.29296235	70.55118224	69.44143748	13.04737471	13.04910373	13.31412018	12.20922161	11.60371686	11.23159719	11.92783122	13.32441048	12.57327542	12.53820033	13.70809356	13.52902974	12.91128553	14.2461296	15.25530282	15.8334855	16.26981846	126.0672405	116.1029081	113.0846489	59.6962175	100.6844371	105.3743007	100.9020393	101.2878781	111.4959715	107.0807053	113.3873875	106.4705512	100.307268	104.3782813	109.0938007	108.0061649	103.9832217	11.29092061	10.14830418	10.0487014	3.906803688	8.454221274	8.942183159	10.11556114	10.01169948	11.18826186	10.75100024	13.96562013	12.58220035	13.7692115	13.8359583	17.16098642	17.55216314	17.86941844	9.213525005	8.56633249	9.934527703	9.25040815	8.606232292	8.838267468	8.394467807	7.868777537	8.368891241	6.431521892	7.345320109	6.904568193	5.405177466	7.578958347	8.188414852	8.924539691	10.5088544	8.633272293	8.816640943	10.01314786	7.628324889	7.620374963	7.319935585	5.832550212	7.740014789	5.561498382	4.228102668	4.154048006	4.991138522	5.149157686	4.295823941	4.972063882	4.096545912	4.774617295	12.31761951	11.8338095	11.66640019	12.74854915	10.02341489	12.05333701	12.08271474	9.371486427	10.64330103	10.45928836	10.65334644	10.19569821	10.52347506	10.23196356	9.631684381	11.68973451	9.940909776	183.5214811	171.9805906	176.1611111	141.3845064	145.3692058	158.1598533	156.9483679	156.6380702	154.0911684	157.2141749	167.7122078	159.2950119	159.0518619	159.8878935	163.2915686	167.1798951	163.3980206	108.1114161	103.3888313	96.78562658	81.43587689	78.4754883	88.15387495	87.26727525	85.32981921	92.22786962	95.94499189	94.67548365	83.7642193	83.57687479	87.76941609	92.57171233	94.83700286	99.01331753				
2008	Noord-Holland	97.31687253	95.28009345	90.06919157	68.66914039	76.17465632	76.38024066	69.78237699	75.3365083	63.65678762	64.27918788	62.52052415	59.45965126	49.41714303	50.10651342	47.17109558	51.06177096	44.8779442	2.174742104	3.290157831	3.700648576	3.063132898	3.727388407	3.716531438	3.648783749	2.543099422	1.987150694	3.484819985	3.306186206	3.398215841	3.383073681	2.333193779	1.544925635	1.384200892	1.499959951	1.021183249	0.706820979	1.179736962	0.494053693	0.418254805	1.165249131	0	0	0	0	0	0	0	0	0	0	0	3.671847176	3.124398929	3.138721233	3.640558152	4.05030572	2.575813868	3.908973865	3.800588728	2.446511664	2.423784803	1.957950017	1.498997436	0.890238505	0.585116131	1.064691444	1.656733563	1.649084287	3.608811173	3.302667936	3.638557157	4.471185924	5.932452341	5.887574556	4.980344933	7.808721266	4.270667236	4.522865666	4.05580963	4.202740439	3.795497858	3.617493292	3.606807156	2.307593177	2.296938828	0.646119031	0.663035608	1.750978017	1.784768967	0.833434207	1.759526188	1.343805424	1.263908186	1.334926386	1.219232057	0.935143909	1.314857366	1.288078407	1.356410994	1.387462061	1.558098747	1.680888055	11.88354729	14.75879734	13.65204031	4.290238759	11.65577728	12.21365076	12.23199653	7.956661184	9.313397376	6.652882268	5.85339755	5.48757823	4.816397125	4.571033533	4.97050113	5.85809154	5.762725041	0.504288024	0	0.310457095	0.37054027	0.001845242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003087836	0.003690484	0.010425913	0.001836636	0	0	0	0.001809956	0	0	0	0	0	0	0.283662014	0.412833492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.6759256	16.87926028	16.14811535	13.69208054	14.53496955	15.22551312	12.73462261	13.77968641	11.46415275	13.0340153	13.28857594	11.7233043	10.33122563	8.838066518	9.702489511	12.37846232	11.41366573	55.84674687	52.14212106	46.54993687	36.85949335	35.01653829	33.82595569	30.93201324	38.1838431	32.83998152	32.94158781	33.12165094	31.83395765	24.91263182	28.80519918	24.89421864	25.91859072	20.57468232				
2009	Zuid-Holland	140.9890349	131.4256047	133.0493065	113.0678931	119.6027908	145.329565	149.4377751	178.8155906	162.9849417	184.5532154	156.8603153	156.9201814	140.6531412	131.714659	132.4482573	141.1812723	132.4982096	7.628995301	6.804496758	5.371156114	8.302634072	6.71095985	6.14417468	4.561224571	4.890392415	4.372341081	5.118045017	4.538283555	4.227416529	2.385306032	1.347411958	2.212868292	2.244637301	2.291873784	2.347712896	2.336199711	1.90291572	2.014503934	2.497350233	1.795035622	10.69773194	2.226740299	1.227339853	4.343074431	2.626306419	2.644964676	3.404711008	2.769617228	2.69767784	2.150499334	1.529643468	1.408854667	1.979849347	5.280999374	4.180497082	4.316328077	4.337057265	5.251860972	5.520909901	7.744157884	8.917863612	7.396324667	8.629366865	4.321488113	3.083808738	4.532336452	3.195720705	3.274551331	6.185281724	7.094668662	7.497228394	8.777110888	6.185804038	9.134142621	7.889331654	18.07483461	7.765492324	6.721486818	8.061061157	8.976213029	12.14571269	13.3380613	14.07088559	14.36476753	15.71306405	9.950233076	9.73899228	11.95123216	8.330362836	10.64335462	14.48901434	12.36668318	14.14507355	14.35076343	13.19397127	11.64411029	10.88665875	13.65010459	10.71344179	10.52332039	12.97251964	9.577940435	51.04441202	44.63780898	41.95001827	30.91232202	33.65561096	51.18178954	49.79665377	65.72732154	52.67637806	67.00577898	52.58452962	46.78286524	38.86177383	35.79792694	36.89419084	40.87303705	40.17687607	4.046785321	2.425396766	2.499800531	1.020282633	1.839152488	1.594490113	1.947568937	2.358480185	3.23277721	3.618935511	2.461902086	4.336267507	1.973300257	2.678732924	2.646457613	2.630833729	2.021482857	0.065683515	0.021892685	0.025767939	0.009881074	0.014454394	0.010425913	0.007958756	0.009108697	6.109452138	2.44543982	1.918130986	1.801174474	0.002092007	0	0	0.002070917	0	3.135599898	2.960704194	3.032048175	3.082030452	3.539481285	2.692706755	3.067916967	2.650569825	2.342826285	2.48316929	3.60519093	5.605194923	2.503713611	2.631413489	2.871125453	3.032769125	3.177255358	1.744017095	1.510219975	1.426550353	1.536136446	1.491570443	1.446012843	1.902510131	2.034296141	1.99239287	1.859723166	2.362354509	2.352574019	2.07048891	2.255122671	2.205737866	1.518100465	1.757864954	43.50196515	41.40757456	41.81652172	35.94561753	39.9619708	44.16269674	42.77978549	49.41535611	45.37719564	57.08735652	48.26844832	48.25148286	47.33900335	44.8890392	42.92153994	46.85059092	42.9769034	9.929494231	10.50780083	10.29506774	8.956514135	8.746753605	8.342018528	9.168548709	11.76250728	15.79382495	11.75837101	11.39367272	12.4260025	11.99544684	12.21008279	10.87211706	11.34572562	10.00075387				
